id,paddock,lon,lat
1,Lease_2,147.28260867135307,-34.281732451390205
2,Lease_1,147.2747034968528,-34.2861341962824
3,LYNN_DENE_MAILBOX,147.26042028383532,-34.29511734912359
4,Lease_3,147.28692058471682,-34.280295146935615
5,DEER_PADDOCKS,147.27209838252887,-34.29880044178848
6,MERRIMU_DRIVEWAY,147.2597914631364,-34.29134442493029
7,400,147.2995868302229,-34.29790212650436
8,AIRSTRIPE,147.27039158348902,-34.305897132533026
9,LYNN_DENE_MAILBOX,147.2624864089888,-34.307064942402384
10,MERRIMU_DRIVEWAY,147.261228767591,-34.287212174623335
11,LIGHTNING_TREE,147.29599356908642,-34.282990092787976
12,LIGHTNING_TREE,147.29599356908642,-34.28254093514592
13,300,147.2822493452394,-34.299608925544185
14,DEER_PADDOCKS,147.26958309973332,-34.29844111567483
15,400,147.31117509738803,-34.299878420129424
16,HILLPDK,147.29141216113743,-34.282720598202744
17,HILLPDK,147.28395614427924,-34.28577487016875
18,Lease_2,147.28242900829625,-34.28281042973115
19,Lease_1,147.28018322008592,-34.28667318545287
20,AIRSTRIPE,147.27111023571632,-34.30526831183414
21,CREEK_PADDOCK,147.28314766052353,-34.31317348633439
22,TURKEY_YARD,147.2904240143249,-34.30562763794779
23,TURKEY_YARD,147.28988502515443,-34.3087717414422
24,MERRIMU_DRIVEWAY,147.25691685422723,-34.291254593401874
25,HILLPDK,147.28638159554635,-34.28505621794145
26,LYNN_DENE_MAILBOX,147.255120223659,-34.3004174092999
27,HILLPDK,147.28629176401793,-34.28712234309493
28,MERRIMU_DRIVEWAY,147.2763204643642,-34.29170375104393
29,CREEK_PADDOCK,147.27973406244388,-34.315598937601514
30,300,147.28988502515443,-34.298171621089594
31,400,147.30380891205826,-34.30401067043638
32,Lease_1,147.2739848446255,-34.28424773418574
33,TURKEY_YARD,147.28009338855753,-34.304819154192074
34,TURKEY_YARD,147.29141216113743,-34.302483534453366
35,LIGHTNING_TREE,147.29473592768866,-34.28460706029939
36,Lease_3,147.29042401432488,-34.28038497846403
37,LIGHTNING_TREE,147.29464609616025,-34.29323088702694
38,Lease_1,147.2785662525745,-34.28595453322557
39,Lease_1,147.28135102995526,-34.28496638641304
40,Lease_2,147.2754221490801,-34.28361891348686
41,300,147.2890765413987,-34.299608925544185
42,Lease_3,147.29141216113743,-34.279127337066264
43,400,147.312253075729,-34.30436999655002
44,400,147.30713267860952,-34.29996825165784
45,Lease_2,147.27784760034723,-34.28236127208909
46,DEER_PADDOCKS,147.2707509096027,-34.30374117585114
47,Lease_3,147.28629176401793,-34.276701885799135
48,AIRSTRIPE,147.27650012742103,-34.30481915419208
49,Lease_2,147.27721877964834,-34.281552788333386
50,MERRIMU_DRIVEWAY,147.27353568698342,-34.293949539254236
