target,feature_set,cv,rmse,mae,r2,n_features,n_samples,n_groups
pH,all_64,loocv,0.42816972811283227,0.26789613484184527,0.08100143299989992,64,69,
pH,best_bands,loocv,0.4072065629644036,0.23497923516996821,0.16878675712387436,15,69,
pH,all_64,5fold,0.46643783372611664,0.2940927635644368,-0.09061246053838712,64,69,3.0
pH,all_64,leave_one_paddock_out,0.5109562332187733,0.3877884253672356,-0.3087307869236724,64,69,3.0
pH,best_bands,5fold,0.4426426793213838,0.2696178777667059,0.017823615026908657,15,69,3.0
pH,best_bands,leave_one_paddock_out,0.4233772016957006,0.28163528288044215,0.10145909593700408,15,69,3.0
CEC,all_64,loocv,3.0293282246083986,2.0757584401374856,0.22085216474196845,64,69,
CEC,best_bands,loocv,2.8605477494099105,1.8724830782240718,0.3052547133904099,15,69,
CEC,all_64,5fold,3.344596800989678,2.2639274977255557,0.05023809510377364,64,69,3.0
CEC,all_64,leave_one_paddock_out,3.9290539862229448,3.2204202380157323,-0.31069969461330293,64,69,3.0
CEC,best_bands,5fold,3.1356461444866626,2.020159390859558,0.16520219247383494,15,69,3.0
CEC,best_bands,leave_one_paddock_out,3.3553767382069086,2.6205893294246883,0.04410589208061022,15,69,3.0
ESP,all_64,loocv,2.0616419198346834,1.6962938343125267,0.4612273933134503,64,69,
ESP,best_bands,loocv,1.95967416751402,1.5879605803800663,0.513204259516632,15,69,
ESP,all_64,5fold,2.1102578396510903,1.741325177921765,0.4355180250144959,64,69,3.0
ESP,all_64,leave_one_paddock_out,3.1284374601786,2.730653451332724,-0.24060631912434394,64,69,3.0
ESP,best_bands,5fold,2.013155823234834,1.6443399239536642,0.4862713136265495,15,69,3.0
ESP,best_bands,leave_one_paddock_out,2.8916121545972437,2.5327358996551395,-0.05988590595961596,15,69,3.0
