dataset,target,n_features,rmse,mae,r2,selection_cv
1x1,pH,10,0.39279108742809843,0.22060556093851727,0.02386973847014595,3fold
1x1,pH,20,0.3980073916689576,0.22760777086681797,-0.002228624444780669,3fold
1x1,pH,30,0.4096788269111151,0.24216778813468082,-0.06187052363031342,3fold
1x1,pH,64,0.41928758547596706,0.2514633310635884,-0.11226567366493212,3fold
1x1,CEC,10,2.807689260821002,1.8161777828004624,0.18350519732048376,3fold
1x1,CEC,20,2.754173615230458,1.7178333072132534,0.2143339809208159,3fold
1x1,CEC,30,2.796898015569907,1.7344333408143788,0.18976946838771647,3fold
1x1,CEC,64,2.8993043386591753,1.8992666617499456,0.12935130422305774,3fold
1x1,ESP,10,1.9757926270188342,1.500751673811012,0.5304778299707801,3fold
1x1,ESP,20,1.9479428327406922,1.5359981111619208,0.5436208476959314,3fold
1x1,ESP,30,1.9623988322042178,1.569414978755845,0.5368219859232378,3fold
1x1,ESP,64,2.1129986847018127,1.7260820512506696,0.4630030287316539,3fold
3x3,pH,10,0.400760623303013,0.22200220833884346,-0.01614249452658778,3fold
3x3,pH,20,0.40600340526901174,0.2289699860678778,-0.04290290987033263,3fold
3x3,pH,30,0.4109614607094071,0.24146777057647706,-0.06852999936099424,3fold
3x3,pH,64,0.41754510969706765,0.2528000126414829,-0.10304017359103823,3fold
3x3,CEC,10,2.7436950561097166,1.662300000031789,0.2203009154477893,3fold
3x3,CEC,20,2.7364260979091064,1.6952333325280087,0.224426805725505,3fold
3x3,CEC,30,2.818884047632774,1.776444443649716,0.17698117929873614,3fold
3x3,CEC,64,2.8386390754117476,1.8547111139297485,0.16540515778427856,3fold
3x3,ESP,10,2.0173950019324516,1.6056029108961423,0.5104971058577101,3fold
3x3,ESP,20,1.9316057879812867,1.5449177767501936,0.5512438856273019,3fold
3x3,ESP,30,1.988335265535528,1.6112232357329794,0.5244977093188645,3fold
3x3,ESP,64,2.093585920562214,1.7311033155653213,0.472824812957808,3fold
