target,n_features,rmse,selected_features
CEC,12,2.53439258773297,"A05,A08,A19,A23,A35,A39,A50,A51,A52,A53,A57,A60"
CEC,10,2.547207678471537,"A05,A08,A19,A23,A35,A39,A51,A53,A57,A60"
CEC,8,2.5618251820279707,"A08,A23,A35,A39,A51,A53,A57,A60"
CEC,15,2.6010957479558785,"A05,A08,A12,A19,A23,A24,A35,A39,A50,A51,A52,A53,A57,A58,A60"
CEC,5,2.6178286334772656,"A23,A35,A39,A53,A60"
CEC,20,2.735187790878935,"A05,A08,A09,A12,A13,A19,A23,A24,A34,A35,A39,A43,A50,A51,A52,A53,A57,A58,A59,A60"
CEC,40,2.7740864291626437,"A00,A05,A08,A09,A10,A11,A12,A13,A18,A19,A20,A21,A23,A24,A25,A26,A27,A30,A31,A33,A34,A35,A36,A38,A39,A42,A43,A44,A46,A50,A51,A52,A53,A54,A56,A57,A58,A59,A60,A63"
CEC,30,2.8046505513346096,"A00,A05,A08,A09,A10,A11,A12,A13,A18,A19,A20,A21,A23,A24,A34,A35,A38,A39,A43,A46,A50,A51,A52,A53,A54,A57,A58,A59,A60,A63"
CEC,64,2.866642217839876,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63"
pH,5,0.33605657362168184,"A08,A24,A35,A39,A53"
pH,10,0.35358631326735745,"A08,A11,A12,A23,A24,A35,A39,A53,A59,A60"
pH,8,0.35704488908932686,"A08,A12,A23,A24,A35,A39,A53,A59"
pH,12,0.3580212553381439,"A00,A08,A11,A12,A23,A24,A35,A39,A51,A53,A59,A60"
pH,15,0.3622832304200575,"A00,A08,A11,A12,A13,A23,A24,A35,A39,A51,A52,A53,A58,A59,A60"
pH,20,0.36270128389820155,"A00,A07,A08,A11,A12,A13,A18,A23,A24,A27,A35,A39,A50,A51,A52,A53,A54,A58,A59,A60"
pH,30,0.3787324313781345,"A00,A07,A08,A09,A11,A12,A13,A18,A20,A21,A23,A24,A27,A33,A34,A35,A38,A39,A44,A46,A50,A51,A52,A53,A54,A55,A58,A59,A60,A62"
pH,40,0.38333249613809334,"A00,A03,A05,A07,A08,A09,A11,A12,A13,A16,A18,A19,A20,A21,A23,A24,A26,A27,A28,A33,A34,A35,A36,A38,A39,A44,A46,A48,A50,A51,A52,A53,A54,A55,A57,A58,A59,A60,A61,A62"
pH,64,0.3963817778319718,"A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63"
